time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (unitless/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333333333333336,1.0,17380.774229118975,0.0,-8916.489071879249,0.2,0.00013541666666666674,72473.08833435866,15.145793151119717,0.4876000579549153,24094.610808417507,68.05737270077049
160.16130859524847,1334.6775716270722,8.33333333333334,11458.100687894443,14637.915234293072,0.0,-7885.0980140152715,0.22168851053893995,0.00013541666666666688,72304.05766003452,16.46313567566413,0.4535837518527753,20775.417505093465,75.0907938870504
381.15122507126495,3176.2602089272095,8.333333333333336,29105.60182285223,12100.385929584181,0.0,-6947.423665103456,0.25161422839506714,0.0001354166666666667,72098.86349912632,17.671384114709426,0.4253202375446535,17606.791611897406,84.68111157286279
451.09377805542783,3759.114817128566,8.333333333333334,35131.053690153145,11508.306750813956,0.0,-6729.597864300301,0.2610856157783392,0.0001354166666666667,72038.47087513207,17.9463144597069,0.4195071536338604,16845.206763410333,87.68854069539462
451.09377805542783,3759.114817128566,8.333333333333334,35131.053690153145,11508.306750813956,0.0,-6729.597864300301,0.2610856157783392,0.0001354166666666667,72038.47087513207,17.9463144597069,0.4195071536338604,16845.206763410333,87.68854069539462
778.1886932561696,6484.905777134749,8.333333333333332,66081.48577384562,9616.277160625441,0.0,-6035.035187806823,0.30537971887843973,0.0001354166666666667,71776.47212801069,18.59975130755115,0.4080342774201346,14300.071986848805,101.57433671224166
1229.5129152167667,10245.94096013972,8.33333333333333,116145.54387653207,8422.967779728306,0.0,-5572.586132941689,0.36649654060227044,0.0001354166666666666,71449.15829036047,18.14553371218529,0.42366029923456733,12463.997554608406,120.24308113524813
1372.3554883571617,11436.295736309681,8.333333333333329,133731.83144574412,8237.112721110685,0.0,-5505.918256019209,0.38583980571503235,0.00013541666666666658,71349.18907899945,17.848089895130883,0.43300937755096414,12116.740125766317,126.03147997598322
1372.3554883571617,11436.295736309681,8.333333333333329,133731.83144574412,8237.112721110685,0.0,-5505.918256019209,0.38583980571503235,0.00013541666666666658,71349.18907899945,17.848089895130883,0.43300937755096414,12116.740125766317,126.03147997598322
1761.2389795364409,14676.99149613701,8.333333333333332,185754.66047663204,7988.361767653202,0.0,-5420.704439904848,0.4385011118122265,0.00013541666666666663,71081.88576749791,16.412351213564257,0.4728847228258319,11499.756807333964,141.49270970085894
2297.8188251206952,19148.490209339125,8.333333333333327,267231.5560158624,7946.126648032627,0.0,-5460.233681663061,0.5111629659017608,0.00013541666666666655,70715.0933528983,13.944626672296499,0.5470817109701761,11071.67543075803,162.0990338309868
2467.6445116428395,20563.704263690324,8.333333333333327,295296.88447358325,7941.014958294943,0.0,-5472.419062586291,0.5341601942849677,0.00013541666666666652,70597.7496620575,13.08213670327478,0.5744452614926902,10965.716792278097,168.44210711069562
2467.6445116428395,20563.704263690324,8.333333333333327,295296.88447358325,7941.014958294943,0.0,-5472.419062586291,0.5341601942849677,0.00013541666666666652,70597.7496620575,13.08213670327478,0.5744452614926902,10965.716792278097,168.44210711069562
2794.7394268435814,23289.495223696504,8.33333333333333,352354.107528433,7946.0114441044,0.0,-5507.5198945477405,0.5784542973850683,0.00013541666666666652,70371.54211810892,11.451767066478299,0.6302803989124014,10798.401634410679,180.41248453081275
3246.0636488041782,27050.530406701477,8.333333333333327,437399.47795722855,8036.128350572427,0.0,-5580.823990738106,0.6395711191088989,0.00013541666666666663,70056.40449107857,8.983542926764084,0.7251974231624291,10688.573567584,196.3874781476862
3388.906221944573,28240.885182871432,8.333333333333336,465802.16336695175,8065.672626185484,0.0,-5603.059032153898,0.6589143842216607,0.00013541666666666674,69955.70307604222,8.192068141763533,0.7587205469723596,10662.240364985893,201.3103653791
3388.906221944573,28240.885182871432,8.333333333333336,465802.16336695175,8065.672626185484,0.0,-5603.059032153898,0.6589143842216607,0.00013541666666666674,69955.70307604222,8.192068141763533,0.7587205469723596,10662.240364985893,201.3103653791
3549.0675305398217,29575.562754498507,8.333333333333332,498478.68902790896,8098.028721688731,0.0,-5628.980845653782,0.6806028947606007,0.00013541666666666652,69842.3779368275,7.257748844259653,0.8002804766751387,10635.552066098708,206.75274127059586
3770.0574470158376,31417.14539179864,8.33333333333334,544983.2855120711,8138.079883483573,0.0,-5670.66535386011,0.710528612616728,0.00013541666666666674,69685.07870980502,6.093269393195305,0.8564084200589592,10599.764055317311,214.1271070526247
3840.000000000001,32000.0,8.333333333333332,560039.4063896083,8153.083730496512,0.0,-5684.742579277272,0.72,0.00013541666666666674,69635.04140120375,5.727741829008417,0.8749790908790255,10592.010207881476,216.42809923352345
3840.000000000001,32000.0,0.19665683382498114,560039.4063896083,8153.083730496512,0.0,-4509.858147506984,0.72,0.0,69635.04140120375,5.727741829008417,0.6904904273420698,8195.601694236737,216.42809923352345
4264.17721573273,32083.417348226692,0.19665683382497828,651826.4525760333,8126.469110589369,0.0,-4493.406640929424,0.7200000000000002,8.73331779449484e-20,69394.44990022952,5.717574705216187,0.6908269370937811,8168.855704991008,216.34879352671084
4849.455197649679,32198.516263057947,0.19665683382497828,778418.5997293376,8089.890866153945,0.0,-4470.772819258742,0.72,4.36665889724742e-20,69063.92410727372,5.7031381321100785,0.6913067669542696,8132.096929440044,216.23932112574042
5034.693677818673,32234.94467607054,0.19665683382497542,818471.2313888316,8078.348782304538,0.0,-4463.625133817911,0.7200000000000001,0.0,68959.66123430381,5.698469887394897,0.6914624121030813,8120.4978845667965,216.2046621886785
5034.693677818673,32234.94467607054,0.19665683382497542,818471.2313888316,8078.348782304538,0.0,-4463.625133817911,0.7200000000000001,0.0,68959.66123430381,5.698469887394897,0.6914624121030813,8120.4978845667965,216.2046621886785
5900.984117295637,32405.306611070922,0.1966568338249747,1005697.0262375271,8024.592829723421,0.0,-4430.298893119429,0.72,3.274994172935565e-20,68474.27345762259,5.675999737650712,0.6922147850235665,8066.476670177522,216.0425032260492
7096.288111394406,32640.371310008733,0.19665683382497542,1263799.6665364134,7951.0207298572495,0.0,-4384.586911726237,0.7200000000000001,2.18332944862371e-20,67810.49107633994,5.6432459868698075,0.6933204620043617,7992.541591828109,215.81856126335057
7474.59773869592,32714.768483519354,0.19665683382497398,1345432.487937094,7927.88027326286,0.0,-4370.184471501386,0.7200000000000001,0.0,67601.83780276353,5.632451031059052,0.6936870836587846,7969.286982747222,215.74763702220866
